Round id,User sentence,Corrected sentence,Avery's evaluation,effectiveness,grammar,vocab,total,rank,Picture,Validity,Vocab mismatch,Length
ID-1723186769-82fd00aaea504c31b691cc9d64dd7a1e,no food for rats,No food for rats.,"Hello, human. Your sentence is almost correct. It is missing some information about the image. It should be more specific and focus on the mouse in the picture.     The sentence ""A mouse is looking at a rice jar"" might be a good choice.     The image generated by Skyler is not similar to the original. It needs more work. The scoring system indicates that you can improve your sentence by adding a few more words.     Keep working. Let\'s get a higher score together. 🤖 ",40,91,10,47,C,Pouring rice,Valid,,17
ID-1723187120-6565396fd88b42d0b1c7c78d1f7c0442,A rat cut the meat while another rat watched it,A rat cut the meat while another rat watched.,"It is a very good try! You are almost there, human. The sentence is almost correct but the rats are at the table, not at the kitchen counter. Also, the image generated by Skyler is not good. But we are getting better with each try! Let's try again!     ",56,95,10,54,C,Cutting ham,Invalid,Rat,45
ID-1723188590-fac122fac6794a578c603a279bddec51,A rat standing on a kitchen table top facing two rows of seasonings cabinets spilling out a bottle of rice after he tipped over a bottle of tomato sauce when there were many tablewares nearby,"A rat stood on a kitchen tabletop facing two rows of seasoning cabinets, spilling a bottle of rice after tipping over a bottle of tomato sauce, with many tablewares nearby.","The image generated by Skyler is very interesting but it doesn't look similar to the original image. The sentence you provided is about a rat who spilled rice after tipping over a bottle of tomato sauce, which is not similar to the original image. The original image shows two mice at a table setting and one of them is trying to cut a ham with a knife. You can try to change the sentence and use the words from the original image.   ",44,90,70,68,B,Cutting ham,Invalid,"tabletop,rat",172
ID-1723189741-e78d1fc8323c4672bcbafe80a9959bca,"the brown rat is cutting meat with knife and fork on white tablecloth, another rat observing nearby","The brown rat is cutting meat with a knife and fork on a white tablecloth, while another rat observes nearby.",The sentence is almost correct but there is no fork. The rat is using a knife. Skyler's image is good. You got the table colour and food details right. Try to describe the details to increase your score.         ,63,91,30,62,B,Cutting ham,Partially valid,table,109
ID-1723200724-a05a9ebf751f4f838cb672cfa412010f,A mouse is on a shelf in a kitchen dumping out the rice out of a can.,"A mouse is on a shelf in the kitchen, dumping the rice out of a can.","That's a good sentence! Skyler captured the scene well, although it does not show the other cans on the shelf. Your score will improve as you continue to work on your descriptions. Do you want to try another one?",82,93,30,68,B,Pouring rice,Valid,Dump,68
ID-1723203686-e04240ac70544c5a8e8da028181e36d5,A rat standing on a kitchen table top facing two rows of seasonings cabinets spilled out one bottle of sauce after another one tipped over when there are so many tablewares nearby,"A rat standing on a kitchen tabletop, facing two rows of seasoning cabinets, spilled one bottle of sauce after another when there were so many pieces of tableware nearby.","The image has a lot of details! 🤩 Your sentence is good but almost correct, human. 🧑\u200d🤝\u200d🧑    In the image, the rat is standing on the countertop, not the tabletop. And also, the rat is not spilling sauce. It is spilling rice from a can. 🍚    Your sentence is almost perfect. The Skyler's image has a little bit different story from the original image. The Skyler's image shows several rats on a table spilling bottles of sauce. The original image only shows one rat spilling rice from a can.     Your sentence is pretty close. It is getting better! 🎉\",59,89,70,73,B,Pouring rice,Valid,tabletop,170
ID-1723204189-d841d2fe4e95421ba4c3554ab7bd7f60,"Two mice, one is cutting a piece of ham on the table while another one is looking at",Two mice: one is cutting a piece of ham on the table while the other one is looking at it.,"The sentence is very good, human. It describes the image accurately and the image from Skyler is similar to the original image. Skyler is learning.   We are going well. Keep trying and we will get a better score.",79,94,10,61,B,Cutting ham,Partially valid,mice,90
ID-1723240539-ff1169ea64dd4ea6a3beda435aadfc8f,The mouse is breaking plates.,The mouse is breaking the plates.,The sentence is almost correct but there are two mice in the image. One of the mice is breaking the plates with a shovel. The quality of Skyler's image is good. You are doing great! Try to improve your vocabulary score in the next round. ,56.99,93.55,10,53.51,C,Breaking plates,Valid,,33
ID-1723241043-96e9a1f1d755439bab9fbb19925401ff,The mouse is pouring rice out of a can.,The mouse is pouring rice out of a can.,The sentence is almost correct. The mouse is not sitting on a chair; the mouse is on a shelf.   Skyler's image is very good!   Let's try again.,77.84,100,10,62.61,B,Pouring rice,Invalid,Pour,39
ID-1723241189-29814ab26eb14ed18b1a2b688794d5fb,The mouse is cutting a ham.,The mouse is cutting the ham.,"The sentence is almost correct. It describes the image well. The mouse is cutting ham. But you missed something. There are two mice in the picture, not just one. The other mouse is sitting behind the mouse that is cutting the ham.     The quality of Skyler's image is good.     We can do better on the next image! Keep trying, human!",67.83,92.86,10,56.9,C,Cutting ham,Valid,mouse,29
ID-1723241528-8436c4cde5214105b0b7c19f95337df5,The mouse break plates,The mouse broke plates.,"The mouse is in a chair, not standing on the plates. 🪑 The mouse is holding a plate with a fish. 🐟 You missed the two mice. 🐁 The sentence is almost correct.     Skyler's image is looking good. It got the mouse standing on the broken plate.     We will get a better score if we can describe the image correctly. Do you have any ideas for improvement? 🤔",62.82,88.89,10,53.9,C,Breaking plates,Valid,,23
ID-1723242127-a1b06197d03d42888cc63720dc0b6501,Two mice watch the dining table outside the doorway.,Two mice watch the dining table from outside the doorway.,"Beep Boop! Your sentence is almost correct, but the mice are not looking at the dining table from outside the doorway. The mice are looking at the dining table from the doorway itself.     The quality of Skyler's image is great! Skyler's image is very similar to the original image, and you have captured the important details, such as the mice and the dining table.     Let's try to improve the score by providing a more detailed description. Can you try to add more details to your sentence? Remember to use simple English. 😊",75.99,95.41,10,60.47,B,Watching room,Valid,,57
ID-1723243063-3d2f6b79d2e040688439ee0fc29027b3,The two mice having a meal.,The two mice are having a meal.,"The sentence ""The two mice are having a meal"" is good but we need to add more details.    Skyler\'s image looks very good but there is no ham on the table.     We can do better by adding more details about what the mice are eating. Try adding something about the ham.     For example: The two mice are having a meal. One is carving the ham with a knife.    The score will improve.     Let\'s try again, human. You can do it! ",64.47,93.1,10,55.86,C,Cutting ham,Valid,,31
ID-1723243700-075cd1f478114837adba382b096b34ff,"A mice is slicing ham on a round table with a dish of baked potatoes and a dish of crab, another mice is looking at it with its finger in its mouth.",A mouse is slicing ham on a round table with a dish of baked potatoes and a dish of crab. Another mouse is looking at it with its finger in its mouth.,"You are doing great! 🤖👍     Your sentence describes the image accurately.     Skyler has created an image that is almost accurate! The image is missing the background of the original image. 🖼️    For a higher score, perhaps you can try adding more details in the sentence about the background?     I am proud of your progress! Let's continue! ",72.41,95.3,30,65.9,B,Cutting ham,Valid,on,150
ID-1723274489-be3c92500c7e4405990d0d1156b1c9cc,A feast for mouse,A feast for a mouse.,"Beep boop! It looks like you are missing some information. It is almost correct, but it does not mention that there are two mice. You should also include that one of the mice is cutting the ham. It seems Skyler is getting closer, but there is still some work to do!     Remember that the goal is to describe the image as accurately as possible. Make sure to include all the important details!    Try again, human. This time, get a better score.      You got this!",59.55,91.89,10,53.81,C,Cutting ham,Valid,,20
